year,province_code,subject_track,score,count,cumulative_count,rank_min,rank_max,source_id
2023,AH,history,336,520,109581,109062,109581,src_collected_ah_2023_score_segments
2023,AH,history,337,556,109061,108506,109061,src_collected_ah_2023_score_segments
2023,AH,history,338,521,108505,107985,108505,src_collected_ah_2023_score_segments
2023,AH,history,339,540,107984,107445,107984,src_collected_ah_2023_score_segments
2023,AH,history,340,528,107444,106917,107444,src_collected_ah_2023_score_segments
2023,AH,history,341,515,106916,106402,106916,src_collected_ah_2023_score_segments
2023,AH,history,342,576,106401,105826,106401,src_collected_ah_2023_score_segments
2023,AH,history,343,566,105825,105260,105825,src_collected_ah_2023_score_segments
2023,AH,history,344,594,105259,104666,105259,src_collected_ah_2023_score_segments
2023,AH,history,345,559,104665,104107,104665,src_collected_ah_2023_score_segments
2023,AH,history,346,544,104106,103563,104106,src_collected_ah_2023_score_segments
2023,AH,history,347,589,103562,102974,103562,src_collected_ah_2023_score_segments
2023,AH,history,348,550,102973,102424,102973,src_collected_ah_2023_score_segments
2023,AH,history,349,544,102423,101880,102423,src_collected_ah_2023_score_segments
2023,AH,history,350,544,101879,101336,101879,src_collected_ah_2023_score_segments
2023,AH,history,351,589,101335,100747,101335,src_collected_ah_2023_score_segments
2023,AH,history,352,609,100746,100138,100746,src_collected_ah_2023_score_segments
2023,AH,history,353,551,100137,99587,100137,src_collected_ah_2023_score_segments
2023,AH,history,354,593,99586,98994,99586,src_collected_ah_2023_score_segments
2023,AH,history,355,554,98993,98440,98993,src_collected_ah_2023_score_segments
2023,AH,history,356,604,98439,97836,98439,src_collected_ah_2023_score_segments
2023,AH,history,357,575,97835,97261,97835,src_collected_ah_2023_score_segments
2023,AH,history,358,593,97260,96668,97260,src_collected_ah_2023_score_segments
2023,AH,history,359,622,96667,96046,96667,src_collected_ah_2023_score_segments
2023,AH,history,360,615,96045,95431,96045,src_collected_ah_2023_score_segments
2023,AH,history,361,578,95430,94853,95430,src_collected_ah_2023_score_segments
2023,AH,history,362,584,94852,94269,94852,src_collected_ah_2023_score_segments
2023,AH,history,363,609,94268,93660,94268,src_collected_ah_2023_score_segments
2023,AH,history,364,623,93659,93037,93659,src_collected_ah_2023_score_segments
2023,AH,history,365,587,93036,92450,93036,src_collected_ah_2023_score_segments
2023,AH,history,366,629,92449,91821,92449,src_collected_ah_2023_score_segments
2023,AH,history,367,638,91820,91183,91820,src_collected_ah_2023_score_segments
2023,AH,history,368,582,91182,90601,91182,src_collected_ah_2023_score_segments
2023,AH,history,369,600,90600,90001,90600,src_collected_ah_2023_score_segments
2023,AH,history,370,564,90000,89437,90000,src_collected_ah_2023_score_segments
2023,AH,history,371,609,89436,88828,89436,src_collected_ah_2023_score_segments
2023,AH,history,372,607,88827,88221,88827,src_collected_ah_2023_score_segments
2023,AH,history,373,617,88220,87604,88220,src_collected_ah_2023_score_segments
2023,AH,history,374,591,87603,87013,87603,src_collected_ah_2023_score_segments
