year,province_code,batch_code,subject_track,college_code,group_code,major_code,min_score,min_rank,avg_score,avg_rank,max_score,max_rank,admitted_count,source_id
2024,AH,ordinary_undergraduate,history,1053,003,,611,2389,,,,,1,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1054,001,,514,23983,,,,,6,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1054,002,,503,28218,,,,,2,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1057,003,,646,366,,,,,15,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1058,004,,636,747,,,,,4,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1059,001,,541,15137,,,,,19,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1060,001,,516,23529,,,,,4,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1061,003,,591,4795,,,,,3,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1061,004,,597,3972,,,,,2,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1061,005,,517,22849,,,,,4,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1061,006,,594,4275,,,,,2,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1062,004,,621,1566,,,,,16,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1062,005,,623,1392,,,,,3,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1064,001,,544,14249,,,,,6,src_ah_2024_admission_history
2025,AH,ordinary_undergraduate,physics,1003,001,,504,128396,,,,,8,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1005,001,,501,132220,,,,,23,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1005,002,,480,164038,,,,,9,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1006,001,,520,106211,,,,,8,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1009,001,,500,134679,,,,,,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1009,002,,493,145008,,,,,2,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1009,003,,493,144835,,,,,6,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1009,004,,489,150101,,,,,6,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1009,005,,490,148605,,,,,25,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1009,006,,506,126073,,,,,1,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1013,001,,489,150039,,,,,8,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1013,002,,482,161486,,,,,7,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1013,003,,489,150565,,,,,54,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1013,004,,493,145413,,,,,5,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1013,005,,492,145724,,,,,4,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1020,001,,500,135017,,,,,7,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1023,001,,505,126424,,,,,6,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,002,,521,104310,,,,,10,src_ah_2025_admission_physics
