year,province_code,batch_code,subject_track,college_code,group_code,college_name,subject_requirement,group_note,source_id
2024,AH,ordinary_undergraduate,physics,1030,002,北京大学医学部,化学,"002专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1030,003,北京大学医学部,化学,"003专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1031,001,北京第二外国语学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1032,001,北京电影学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1035,001,北京服装学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1035,002,北京服装学院,化学,"002专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1036,001,北京工商大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1036,002,北京工商大学,不限,"002专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1036,003,北京工商大学,化学,"003专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1037,002,北京工业大学,化学,"002专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1037,003,北京工业大学,化学,"003专业组（化学）（中外合作办学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1039,003,北京航空航天大学,化学,"003专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1039,004,北京航空航天大学,化学,"004专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,history,1001,001,安康学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1003,001,安阳工学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1003,002,安阳工学院,不限,"002专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1003,003,安阳工学院,不限,"003专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1004,001,安阳师范学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1004,002,安阳师范学院,思想政治,"002专业组（思想政治）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1007,001,鞍山师范学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
